year,title,keywords_list,producers_list,directors_list,writers_list,editing_list,cinematography_list,production_design_list,music_departments_list
2008,Wicked Lake,female nudity voyeur nude model public nudity female rear nudity female frontal nudity white panties panties scantily clad female voyeurism breasts pulled out dildo 1957 chevrolet skinny dipping lesbian lake revenge rape lesbian sex female demon slasher female topless nudity demon nude woman sex horror female full frontal nudity clothed male naked female scene minidress witch witchcraft splatter serial killer repressed homosexual female female kiss house college blood low budget film co ed gore scene after end credits homosexual independent film,"['Csaba Bereczky', 'John Carchietta', 'Carl Morano', 'John Sirabella', 'Chris Sivertson']",['Zach Passero'],"['Adam Rockoff', 'Chris Sivertson']",['Kevin Ford'],['Stephen Osborn'],['Billy Jett'],"[""John 'Bixby' Bilberry"", 'Al Jourgensen', 'Angelina Jourgenson', 'Clayton Worbeck', 'Ronald J. Webb']"
1997,Hideous!,female frontal nudity snow castle monster ambush wealth robbery collector sewage tank listening in on a telephone call crazy straw drinking on the job female topless nudity handcuffed to a tree gun held to head biological specimen cooler booby trap smack upside the head upskirt baseball bat breast suckling close up of bare breast spiral staircase falling to death trip wire impaled woman rope ladder hiding in a car trunk topless woman wears a gorilla mask woman wears a thong creature feature female nudity gorilla mask telephone call cult film death sword fight trapdoor independent film surprise ending,"['Charles Band', 'David DeFalco', 'Michael Feichtner', 'Kirk Edward Hansen', 'Vlad Paunescu']",['Charles Band'],['Neal Marshall Stevens'],"['Steven Nielson', 'Barrett Taylor']",['Vlad Paunescu'],['Radu Corciova'],[]
2007,Night Skies,phoenix arizona arizona desert arizona territory low budget sci fi movie hairy chest implied male nudity 1990s stranded unidentified flying object phoenix lights mercy killing foot chase gore camper hoax medical experiment lost nightmare woods creature abduction fatal injury car crash cabin terror year 1997 bare chested male bare chested male bondage kidnapping visitor stranger arizona alien,"['Marc Ambrose', 'Adrian Doyle', 'Mike Greene', 'Steve B. Harris', 'Jerry Macaluso']",['Roy Knyrim'],"['Eric Miller', 'Steve B. Harris']",['Jersey Holiday'],['Steve Adcock'],['Sam Greenmun'],[]
2006,Faustbook,mature animation for grown ups animation funeral faust stop motion animation quay henson young faustus stop motion puppetry pixelation jacob faust faustus faust book alchemy,['Eric Leiser'],['Eric Leiser'],['Jacob Faust'],"['Eric Leiser', 'Brad Mays']",['Eric Leiser'],[],['Jeffrey Leiser']
1998,Psycho Sisters,rape tied up in underwear suicide rape and revenge murder sister kicked in the groin dead children female nudity whistle stabbing psychiatrist police knife gore garden shears double child murder murder of a child blood bloody body of a child female killer female psychopath house murderer duo strangulation sperm bank biker psychiatric patient suspense slasher remake splatter boy strangling mutilation castration independent film,"['John Granata', 'Pete Jacelone', 'Sal Longo', 'Karl Petry', 'Michael Raso', 'Gary Whitson']","['Pete Jacelone', 'Sal Longo', 'Gary Whitson']","['James L. Edwards', 'Pete Jacelone']",['Frank Terranova'],"['Timothy Healy', 'Sal Longo', 'Gary Whitson']",[],[]
2008,Midnight Movie,clubfoot supernatural power talking during a movie scar motorcycle alternate dimension air vent abusive father popcorn machine biker female protagonist psychiatric hospital sucked into a television overalls slasher killer alliterative title midnight movie grindhouse film graphic violence slasher horror intense violence torture hillbilly horror timeframe 1970s timeframe 2000s child in jeopardy 1970s scared characters killed one by one brief nudity 2000s two word title electronic music score foot torture female nudity female topless nudity shower chase cell phone movie in title writing in blood title appears in writing tied to a table throat slit survival horror stabbed to death stabbed through the chest stabbed in the neck stabbed in the chest stabbed in the back,"['Kacy Andrews', 'Leica Cruz', 'Liam Finn', 'Michael Gleissner', 'Albert Hasson', 'Jack Messitt', 'Jacques Thelemaque']",['Jack Messitt'],"['Sean Hood', 'Mark Garbett', 'Jack Messitt']",['Kristoffer Villarino'],"['Ruben Russ', 'Clyde W. Smith']",['Bradd Fillmann'],"['Dessi Freeman', 'Danail Getz', 'Scott Glasgow', 'Alitia Harnisch', 'Larry Hennessy', 'JJ Lee', 'Christopher Lord', 'Vivek Maddala', 'John Rodd', 'Brooke Wentz']"
2009,The City,college sex death iron blood screenwriting prostitute van knife minneapolis minnesota,['James Vogel'],['James Vogel'],"['James Vogel', 'Ezra Stead', 'Greg Hernandez']",['James Vogel'],['Zach Rasmussen'],[],[]
2007,Chupacabra,psychotronic film power plant old mexico chupacabra hostage storm machine gun creature feature small town new house mythology legend animal attack trapped gore death,"['Charles L. Hughes', 'Jeff Schechtman', 'Roberto Silvi']",['John Blush'],['Ryan Joint'],['Nicholas Lee'],"['Rick Fair', 'Andrew Smoley']",[],[]
1998,Bride of Chucky,soul transference feather boa ceiling mirror mobile home woman in a bubble bath electrocuted in a bathtub doll holding a gun body switching doll serial killer chapel nail road trip disposing of a dead body playpen body in a trunk lip piercing ex boyfriend ex girlfriend relationship reference to leatherface reference to michael myers back from the dead arson electrocuted in bathtub two killers gay teenager woman electrocuted tied feet gay disfigured face sinister couple death of uncle gay friend talking doll strict uncle handcuffed to a bed nail polish smothered to death goth fishnet stockings obscene finger gesture killer doll electrocution evil doll character name in title chucky character three word title serial murderess woman murders a man murderess doll collection,"['Grace Gilroy', 'David Kirschner', 'Don Mancini', 'Laura Moskowitz', 'Corey Sienega']",['Ronny Yu'],"['Don Mancini', 'Don Mancini']","['Randy Bricker', 'David Wu']",['Peter Pau'],['Alicia Keywan'],"['Slamm Andrews', 'Mark Berrow', 'Tom Boyd', 'Mark Curry', 'Peter Davies', 'Michael Dittrick', 'M.B. Gordy', 'Andy Gould', 'Mark Graham', 'Simon James', 'John Katovsich', 'John Kurlander', 'Mary Ramos', 'Ashley Revell', 'David E. Russo', 'Marni Sanders', 'Michelle Silverman', 'Tim Simonec', 'Steven L. Smith', 'David Trevis', 'Adam Jeremy Williams', 'Brian Williams', 'Rob Zombie', 'Sharyn Gersh', 'James Thatcher', 'Bruce White', 'Jonathan Williams']"
2002,Hollywood Vampyr,subculture hollywood goth gothic vampire cult los angeles california lieutenant gothic subculture doctor detective,"['Steve Akahoshi', 'Greg Duvall', 'Joel Eisenberg', 'Karl Kozak', 'Richard Sandoval']",['Steve Akahoshi'],"['Joel Eisenberg', 'Brandon Borbeck']","['Steve Akahoshi', 'Greg Robbins']",['Georg Fick'],[],[]
1961,Night Tide,sea beach underwater scene night greek myth santa monica pier los angeles nightmare sailor pier merry go round hp lovecraft funfair jazz beat generation police station fish breakfast smoking dancing seashell bongo player beach party psychotronic film psychological abuse suicide stalking murder corpse cigarette smoking gun death deception lie jealousy orphan dead body police officer manipulation father figure girlfriend loss of girlfriend drumming tragedy selfishness edgar allan poe quotation based on the works of edgar allan poe drinking alcohol cigarette mermaid carnival,"['Aram Kantarian', 'Jules Schwartz', 'H. Duane Weaver']",['Curtis Harrington'],"['Curtis Harrington', 'Curtis Harrington']",['Jodie Copelan'],"['Vilis Lapenieks', 'Floyd Crosby']",['Paul Mathison'],"['Chaino', 'Sid Sidney', 'Paul Horn']"
1986,Nomads,gang sex scene van nomad nun demon punk supernatural power woman in jeopardy scientist bare chested male frenchman abroad pubic hair breasts male pubic hair male frontal nudity anthropologist male full frontal nudity husband wife relationship los angeles california title spoken by character surprise ending female doctor female ghost soul eater demonic possession demon in human form heavy metal soundtrack street punk death of protagonist multiple protagonists female protagonist masked motorcycle rider death shrine inuit surveillance investigation evil spirit punk rocker punk rock punk girl home invasion helpful ghost ancient evil legend mythical creature taunting song during end credits state line biker,"['Thomas Coleman', 'Cassian Elwes', 'Elliott Kastner', 'Stanley Mark', 'George Pappas', 'Michael Rosenblatt']",['John McTiernan'],['John McTiernan'],['Michael John Bateman'],['Stephen Ramsey'],['Marcia Hinds'],[]
1972,The Rats Are Coming - The Werewolves Are Here,animal cruelty psychotronic film animal abuse actual animal killed period piece mouse killer animal killer rat chicken injection insanity incest father daughter incest child of incest missing arm disfigurement facial scar pet pet rat pistol rat in a cage knife pregnancy sister sister sister rivalry sister sister relationship brother brother sister relationship father daughter father daughter relationship sickness life extension 180 year old friendship snake pet snake rat bite werewolf england rat low budget film isolation claim in title animal in title independent film,['William Mishkin'],['Andy Milligan'],['Andy Milligan'],['Andy Milligan'],['Andy Milligan'],[],[]
1959,Invasion of the Animal People,dead reindeer killing a reindeer dead animal monster kills animal sasquatch secretary lipstick on face girlfriend reindeer appointment colonel sergeant airplane airplane pilot avalanche crash landing walking into the sunset ends with a walk into the sunset sunset song singer psychotronic film ladies man lapland sweden lateness euro trash unidentified flying object spacecraft ufo crash spacecraft crash spaceship spacecraft accident spaceship pilot snow monster meteor figure skater alien skiing giant monster creature feature space monster exploding airplane cabin trash movie,"['Bertil Jernberg', 'Gustaf Unger']",['Virgil W. Vogel'],"['Robert M. Fresco', 'Arthur C. Pierce', 'Arthur C. Pierce']","['Shirley Cytron', 'Tom Rolf']",['Hilding Bladh'],[],"['Harry Arnold', 'Allan Johansson']"
1977,Ghosts That Still Walk,spirit medicine man possession curse paranormal phenomenon supernatural power cave occult ghost demon haunting native american independent film,['Lynn Raynor'],['James T. Flocker'],['James T. Flocker'],['Val Kuklowsky'],['Holger Kasper'],[],['Ronald Stein']
1998,Laughing Dead,zombie decapitation independent film,"['Greg Knowles', 'Nancy Rhee']",['Patrick Gleason'],['Patrick Gleason'],['Robert McFalls'],"['Neal Fredericks', 'Tom Jensen']",['Chris Davis'],[]
1988,Phantom of the Ritz,parody comedy theater 1950s spoof rock music phantom phantom of the opera opera based on novel independent film,"['Neil DeGroot', 'C. Jerry Kutner', 'Rob Mason', 'Carol Marcus Plone', 'Jay Tobias', 'Scott Wolf']",['Allen Plone'],"['Tom Dempsey', 'Gaston Leroux', 'Allen Plone']",['Sandy Nervig'],['Ronald W. McLeish'],['Anthony Ricardi'],[]
1989,The Laughing Dead,mexico priest in love new age heart ripped out arm ripped off ancient manuscript gore zombie independent film dead child temple bodily possession runaway teenager female nudity female topless nudity priest nun tour guide bus trip ancient text disembowelment human sacrifice aztec priest magical crystal aztec indian child swearing murder of a child tour bus single mother pagan cult meditation illegitimate son hotel clerk heart in hand headless corpse festival eyeball ex nun dream decapitation cut out heart confessional child selling child sacrifice bathtub basketball archeologist title spoken by character,"['Michael Deak', 'Wendy Ikeguchi', 'Lex Nakashima', 'Somtow Sucharitkul', 'Tim Sullivan']",['Somtow Sucharitkul'],['Somtow Sucharitkul'],['Rose Anne Weinstein'],['David Boyd'],"['Diane Hughes', 'Phillip Vasels']",[]
1973,Sssssss,mad scientist pet snake laboratory small town nightmare carnival body horror ferret mutation bully insanity tragedy cobra black mamba python herpetologist snake bite transformation father daughter relationship professor scientific research male rear nudity voyeur metamorphosis eccentric scientist biologist experiment talking to a snake missing person vaccination hallucination lake skinny dipping mutant secret killing a pet revenge vigilante justice slow motion scene reference to adam and eve boyfriend girlfriend relationship freak show snake attack cellar freeze frame snake venom woman wears eyeglasses dream premarital sex murder of a nude man,"['David Brown', 'Robert Butner', 'Daniel C. Striepeke', 'Richard D. Zanuck']",['Bernard L. Kowalski'],"['Hal Dresner', 'Daniel C. Striepeke']",['Robert Watts'],['Gerald Perry Finnerman'],[],[]
1921,His Brother's Keeper,hypnotism,[],['Wilfrid North'],"['Brewster Morse', 'Brewster Morse']",[],"['William Crolly', 'Arthur T. Quinn']",[],[]
2009,My Bloody Valentine,slasher masked killer valentines day mining town dual identity boyfriend girlfriend relationship female frontal nudity female rear nudity remake slasher killer characters murdered one by one graphic violence horror movie remake unknown killer masked murderer masked villain masked figure teen slasher mass murderer female topless nudity clothed male naked female scene psychotronic film canuxploitation sex scene gore grindhouse film intense violence alarm pickaxe child in jeopardy serial murder sex in bed woman wears a miniskirt woman wears a short skirt bloody violence 3 dimensional f word holiday horror slasher horror mexican mexican maid mexican stereotype female full frontal nudity female nudity 3d massacre impaled through eye torso cut in half cabin in the woods totem pole,"['John Dunning', 'André Link', 'Jonathan McCoy', 'Jack L. Murray', 'Michael Paseornek', 'Hernany Perla', 'John Sacchi']",['Patrick Lussier'],"['Todd Farmer', 'Zane Smith', 'John Beaird', 'Stephen A. Miller']","['Cynthia Ludwig', 'Patrick Lussier']",['Brian Pearson'],['Zack Grobler'],"['Julia Bembenek', 'Susie Bench', 'Mark Curry', 'Jeanne Fay', 'Simon James', 'Joshua Winget']"
1933,Narcotic,drugsploitation salacious seduction orgy drug addiction independent film 1900s agony anguish anger poverty row film low budget film disgust desire desperation despair despicable dismay determination tension stress trauma sordid past caesarean section shocking paranoia treachery pontification hand job four waller rental poverty hysteria pimp side show sinning dejection misery greed grief grinder snake oil salesman debauchery violence retaliation slavery havoc bushwhacked bartender lawlessness sorrow,"['Dwain Esper', 'Hildegarde Stadie']","['Dwain Esper', ""Vival Sodar't""]","['A.J. Karnopp', 'Hildegarde Stadie', 'Hildegarde Stadie']",[],[],[],[]
1971,Diabolic Wedding,independent film character name in title,['Enrique Torres Tudela'],"['Harold Daniels', 'Gene Nash']",[],"[""Stuart O'Brien""]",[],[],[]
2005,The Land of College Prophets,college,"['Mike Aransky', 'James Charbonneau', 'Philip Guerette', 'Tim Kulig', 'Michael Mongillo', 'Bruce Seymour', 'Daniel R. Seymour', 'Thomas Edward Seymour']","['Mike Aransky', 'Philip Guerette', 'Thomas Edward Seymour']",['Thomas Edward Seymour'],"['Mike Aransky', 'Thomas Edward Seymour']","['Mike Aransky', 'Thomas Edward Seymour']",[],[]
2003,Baby's Breath,suspense murder murder mystery ghost story,"['Laurin Krause', 'Diana Lane', 'Robert G. Lane', 'Robert J. Lane', 'Rick Matticks', 'Alton Neumeyer', 'Kelli Rice']",['Matthew Krause'],['Matthew Krause'],['Alex Keays'],[],['Emma Barrett'],[]
1990,Blood Salvage,alligator surgery spinal tap bad religion religious fanatic wheelchair beauty pageant mother daughter relationship salvage yard mad scientist b movie psychotronic film paralyzed woman psychopath redneck slasher serial killer bandage over eyes eye injury psycho eye gouging mechanic independent film cult film,"['Martin J. Fischer', 'Evander Holyfield', 'Ken Sanders']",['Tucker Johnston'],"['Tucker Johnston', 'Ken Sanders']",['Jacquie Freeman Ross'],['Michael Karp'],['Robert Sissman'],[]
2004,Harvest of Fear,bound and gagged masked killer co ed b horror b movie harvest murder killer festival student morgue female topless nudity female nudity death tied to a chair slasher sheriff chloroform fear,"['Justin Ament', 'Rick August Goeckel', 'Michael D. Jones', 'Ted Pfeifer']",['Brad Goodman'],"['Ted Pfeifer', 'Ted Pfeifer', 'Chris Pfeifer']",['Peter Appleton'],"['Aron Leonard Noll', 'Phil Pratt', 'Phillip Pratt']",[],['Christopher Roberts']
2009,Not Forgotten,child gagged sect woman wears a g string del rio texas father daughter relationship stepmother stepdaughter relationship santa muerte tepito mexico city yaqui indian acuna mexico alias sheriffs office prayer vigil black magic ritual mask mexican police disguise debt collector contract killer beer bottle strangled woman smearing blood on face lapel pin fire rescue curse dark ending fbi federal bureau of investigation flashback little girl abduction strip club soccer game menstruation female topless nudity menstrual blood menarche,"['Jamie Beardsley', 'Howard Behar', 'Alejandra Cárdenas', ""Kirk D'Amico"", 'Jeff Geoffray', 'Warren Goz', 'Frederick Johntz', 'Walter Josten', 'Shea Kammer', 'Jefferson Keith Langley', 'Stewart McMichael', 'Tomás Romero', 'Michelle Seward', 'Dror Soref', 'Donald Zuckerman']",['Dror Soref'],"['Tomás Romero', 'Dror Soref']",['Martin Hunter'],['Steven Bernstein'],['Craig Stearns'],"['Peter Afterman', 'John Fee', 'Alison Litton', 'Carl Sealove']"
2000,Helter Skelter,sexploitation sexploitation film two word title rhyme in title masturbation lesbianism female nudity whipping sex sadomasochism lesbian fetish based on novel,"['Tommy Chase', 'Sol Clink', 'Kevin Collins', 'Peter Evanko', 'Casey Yip']",['Jesús Franco'],"['Jesús Franco', 'Marquis de Sade']",['Kurro Maiden'],['Emilio Schargorodsky'],[],[]
1935,Mark of the Vampire,vampire psychotronic film monster movie female monster graveyard cemetery fog owl bat opossum rat cobwebs organist musician folk dance dungeon torture chamber trapped in a house mind control carriage rational explanation for the seeming supernatural inn fiance fiancee relationship guardian suit of armor cat coroners inquest coroner hypnosis bite on the neck staging a crime scene remake by original director horse and carriage police inspector doctor trap superstition inquest hypnotism murder impersonation castle czechoslovakia engagement deception,"['Tod Browning', 'E.J. Mannix']",['Tod Browning'],"['Guy Endore', 'Bernard Schubert', 'John L. Balderston', 'Tod Browning', 'H.S. Kraft', 'Samuel Ornitz']",['Ben Lewis'],['James Wong Howe'],[],"['Domenico Savino', 'Edward Ward']"
1981,Home Sweet Home,hit by a car mime magician turkey talking mime electrocution electric guitar electric generator psychopath country home thanksgiving day knife blood stabbing strangulation video nasty slasher thanksgiving dinner stalker holiday horror title directed by female escaped psychiatric patient power outage car trouble murder rampage violence psychiatric patient,"['Don Edmonds', 'Jack Petty', 'Alex Rebar', 'Michael Saquella', 'Rick Whitfield']",['Nettie Peña'],['Thomas Bush'],['Nettie Peña'],['Don Stern'],[],['Pax Whitfield']
2007,Avarice,boy,['Glenn Payne'],['Glenn Payne'],['Glenn Payne'],['Glenn Payne'],['John Wee'],[],[]
1963,Monstrosity,mad scientist brain transplant body switching xenotransplantation eternal youth grave robbing mad doctor mansion patient eyes covered screaming woman screaming flashing light gift present gift wrap model psychotronic film drinking on the job watchman radio news domestic servant human experimentation black cat betrayal no opening credits woman wrapped in a towel modeling one word title woman uses a wheelchair bandage over eyes eye injury old woman uses a wheelchair old woman gigolo experiment reference to marilyn monroe gazebo explosion wheelchair murder electrocution body snatcher matriarch laboratory man beast wealth voice over narration,"['Dean Dillman Jr.', 'Sue Dwiggins', 'Jack Pollexfen', 'Vy Russell']","['Joseph V. Mascelli', 'Jack Pollexfen']","['Vy Russell', 'Sue Dwiggins', 'Dean Dillman Jr.', 'Jack Pollexfen']",['Owen C. Gladden'],['Alfred Taylor'],[],['Gene Kauer']
2006,Scarlet Moon,vampire low budget film demon female female kiss gore female nudity blood independent film,['Dominic Gregoria'],['Warren F. Disbrow'],['Warren F. Disbrow'],['Warren F. Disbrow'],['Warren F. Disbrow'],[],['Warren F. Disbrow']
1988,Witchcraft,psychotronic film old house child sacrifice mute servant death of priest crucifix haunted mirror suicide by hanging covered in blisters drugged tea sacrificial altar visions of disaster burning house reincarnation death of parents nightmares closed part of house bloody mouth rapid deterioration of body phone call to priest stabbed with a dagger slit wrists impaled by spear weeding a garden painting of ancestors devil headed scepter dracula cape witches burned at stake decapitated head satanism first part witch witchcraft first of series,"['Yoram Barzilai', 'Jerry Feifer', 'Jim Hanson']",['Rob Spera'],['Jody Savin'],['Tony Miller'],['Jens Sturup'],[],[]
1987,"Silent Night, Deadly Night Part 2",garbage day umbrella stabbed by an umbrella stabbed to death with umbrella serial killer killer santa claus condom repeat sequel slasher meme fireplace poker ends with freeze frame serial murder dark killer sadistic psychopath psychopathic killer american horror homicidal maniac sadistic killer maniac psychotic killer disturbed person deeply disturbed person slashed to death exploitation film grindhouse film flashback sequence psychopath american cinema crime spree mutilated body murder spree torturer terror insanity insane murderer bloodshed characters murdered one by one sadistic violence slashing serial killer as protagonist antagonist as protagonist man strangles a woman mass murder brutality murdered with an umbrella murder of a police officer shooting a police officer shooting a police officer in the head reel to reel tape recorder,"['Lawrence Appelbaum', 'Joseph H. Earle', 'Eric A. Gage']",['Lee Harry'],"['Michael Hickey', 'Paul Caimi', 'Lee Harry', 'Joseph H. Earle', 'Dennis Patterson', 'Lawrence Appelbaum', 'Lee Harry', 'Joseph H. Earle']",['Lee Harry'],['Harvey Genkins'],[],"['Randy Farrar', 'Tim Kenefick', 'Don Sullivan']"
1990,Gremlins 2: The New Batch,science runs amok electrocution self referential gremlin skyscraper monster red lipstick lipstick on face kiss leaves lipstick light sensitivity bioengineering horror host new york city scientist rampage mad scientist laboratory experiment creature billionaire spider creature elevator crash turned to stone revolving door acid giant spider gargoyle breaking the fourth wall film break daffy duck character slapstick comedy creature feature security guard reference to abraham lincoln chinatown reference to rambo mass destruction mischief office dismemberment splatter water talking animal intelligence paper shredder secret exit spiderweb woman in jeopardy japanese tourist caught in a spider web,"['Rick Baker', 'Michael Finnell', 'Kathleen Kennedy', 'Frank Marshall', 'Steven Spielberg']","['Joe Dante', 'Chuck Jones']","['Charles S. Haas', 'Chris Columbus']",['Kent Beyda'],['John Hora'],['James H. Spencer'],"['Jason Bentley', 'Marc Bonilla', 'Tom Boyd', 'Tom Brown', 'Alexander Courage', 'Mike Deasy', 'Sandy DeCrescent', 'George Doering', 'Robert Fernandez', 'Jerry Goldsmith', 'M.B. Gordy', 'Mark Graham', 'Kenneth Hall', 'Arthur Morton', 'Emil Richards', 'Steve Schaeffer', 'Steven L. Smith', 'Carl W. Stalling', 'Fred Steiner', 'James Thatcher', 'Louise Di Tullio', 'Bruce Botnick', 'Denise Carver', 'Jerry Goldsmith', 'The Hollywood Studio Symphony', 'Malcolm McNab']"
1943,The Leopard Man,reference to tom mix fountain decorative fountain fiance fiancee relationship leopard new mexico publicity stunt nightclub revenge murder tormented spirit death of loved one death of daughter cemetery by night fathers grave sundial animal in title birthday flower vendor cornmeal bodega german american psychopath ex teacher artifact navajo latin dancer whodunit funeral parlor conscience inquest reference to jack the ripper blonde father daughter relationship gold digger reference to bluebeard latina desert sociopath ace of spades castanets blood native american sheriff procession press agent police museum minister mexican american gunfire,['Val Lewton'],['Jacques Tourneur'],"['Ardel Wray', 'Edward Dein', 'Cornell Woolrich']",['Mark Robson'],['Robert De Grasse'],[],['C. Bakaleinikoff']
2009,Dire Wolf,small town monster sheriff gore mutation werewolf genetic experimentation obsessive compulsive disorder scientist woods secret laboratory escape blood splatter violence shotgun diner waitress security guard electrocution title spoken by character,"['Vince Ravine', 'Kimberly A. Ray']",['Fred Olen Ray'],"['Dan Golden', 'Patrick Moran']",['Randy Carter'],['Theo Angell'],['Peter Dang'],[]
1956,Godzilla: King of the Monsters!,animal character name as title psychotronic film disfigurement natural horror stop motion animation cryptozoology cryptozoologist timeframe 1950s godzilla character godzilla japan reporter japanese monster fire destruction scientist giant monster creature cult film abroad nature of the beast 1950s tokusatsu prayer narration narrated by character loss of friend knocked unconscious death of title character airplane self sacrifice monster terrorizes city remake of asian film kaiju remake sea monster rampage exploding ship fire truck tv news bridge collapse hospital clock tower bird cage explosion train wreck suicide building on fire hydrogen bomb,"['Edward B. Barison', 'Richard Kay', 'Joseph E. Levine', 'Iwao Mori', 'Harry Rybnick', 'Tomoyuki Tanaka', 'Terry Turner']","['Ishirô Honda', 'Terry O. Morse']","['Shigeru Kayama', 'Takeo Murata', 'Ishirô Honda', 'Terry O. Morse', 'Tomoyuki Tanaka', 'Eiji Tsuburaya', 'Al C. Ward']",['Terry O. Morse'],[],['Satoru Chûko'],[]
2006,"Easter Bunny, Kill! Kill!",holiday horror slasher stalker masked killer bunny mask teenager prostitute drugs easter killer rabbit gore villain pedophile nurse teenage boy robbery blood murder holiday in title comma in title punctuation in title exclamation point in title repetition in title animal in title,"['Giuseppe Asaro', 'C.W. Ferrin', 'Trent Haaga', 'John Santos']",['Chad Ferrin'],['Chad Ferrin'],['Jahad Ferif'],['Giuseppe Asaro'],['Dakota Warren'],['Matt Olivo']
1995,The Addiction,new york city brooklyn new york city timeframe 1990s reference to william s burroughs vampire new york drugs philosophy blood college nipples visible through clothing blood splatter villainess undead cult female vampire infection supernatural power rampage ghetto murder violence experimental film african american 1990s old school gangsta bite killing gore cult film terror underground hip hop music rap rap music hip hop female stockinged legs pantyhose vampirism dead boy university mass murder independent film psychotronic film,"['Antony Blinken', 'Denis Hann', 'Marla Hanson', 'Preston L. Holmes', 'Margot Lulick', 'Russell Simmons', 'Fernando Sulichin']",['Abel Ferrara'],['Nicholas St. John'],['Mayin Lo'],['Ken Kelsch'],['Charles M. Lagola'],['James Flatto']
2009,Vampire in Vegas,genetic scientist female scientist experiment black bra and panties sex scene rear entry sex investigation vampire detective stripper bachelor party burned at the stake breasts las vegas nevada murder doctor city name in title independent film,"['Steve Goldenberg', 'Steven Louis Goldenberg', 'Rob Sanchez', 'Bryan S. Sexton', 'Julie K. Smith', 'Susan Weisenberger']",['Jim Wynorski'],['Nicholas Davidoff'],['Randy Carter'],['Kelly Travis'],"['Brock McFadden', 'Robert Hummel']","['Selena Arizanovic', 'Mm Goode']"
1985,Evils of the Night,picnic teenage boy teenage girl blood lesbian outer space full moon woods gay interest forest secretly observing kidnapped by aliens kidnapped man kissing someones chest kissing someones neck licking someones neck licking someones chest oral sex blow job lesbian interest sex scene sex from behind sex standing up outdoor sex strangled to death stabbed to death scream screaming woman boyfriend girlfriend relationship naked outdoors death during sex killed during sex sex in the woods donor blood donor old man unwilling blood donor transmitter sexploitation transmitter in a ring escape nurse laser screaming man slow motion scene softcore erotica reference to shirley temple womanchild chloroform,"['Joan Kasha', 'Mardi Rustam']",['Mardi Rustam'],"['Mardi Rustam', 'Philip Dennis Connors']",['Henri Charr'],['Don Stern'],[],"['Dyna Brein', 'Michael Linn']"
2005,Dark Side of the Light,female nudity independent film,"['Kevin Collins', 'Peter Evanko', 'John Johnson', 'Matt Walker']",['Matt Walker'],['Matt Walker'],['John Johnson'],['John Johnson'],[],[]
1993,Psycho Cop Returns,thong female nudity womans neck broken psycho cop bachelor party killer cop nudity stripper murder neck breaking role reversal violence independent film surprise ending slasher sequel sex scene female topless nudity large breasts female strippers director cameo reference to maxwell house coffee,"['David Andriole', 'Edward Bates', 'Cassian Elwes', 'David Niven Jr.', 'Robert R. Shafer']",['Adam Rifkin'],"['Wallace Potts', 'Dan Povenmire']",['Peter Schink'],['Adam Kane'],['Claude Viator'],[]
2007,Unholy,experiment suicide shotgun homosexual time travel tied to a chair telephone call tape recorder sun flower suicide of daughter suicide by gunshot suicide by gas sleepwalking schizophrenia smoking marijuana piano playing paranoid schizophrenia painting opening quote old woman nazi retaliation mother son relationship mother daughter relationship mind control human experiment grocery store government conspiracy gay film starts with quote farmer farm worker insane woman conspiracy theory coffee cemetery cellar cellar door independent film,"['Josh Blumenfeld', 'Nicholas Brendon', 'Chris Chan', 'Thomas A. Crowell', 'Daryl Goldberg', 'Kim Koby', 'Thomas R. Rondinella', 'Ivan Saperstein']",['Daryl Goldberg'],"['Sam Freeman', 'Sam Freeman', 'Daryl Goldberg']",['Savvas Paritsis'],['Jeff Maher'],['Jeanelle Marie'],"['Ryan Fagman', 'Juan Pablo Mantilla']"
1974,Fangs,natural horror creature feature female topless nudity female nudity cigarette smoking car pushed off a cliff snake murder small town independent film,"['Ray Nadeau', 'Art Names', 'Charles Ver Halen', 'John T. Wilson']",['Art Names'],"['Art Names', 'John T. Wilson']",['James E. Nownes'],['George E. Mather'],['Sterling Franck'],[]
1995,Immortal,independent film,"['Storm Bear', 'Walter Michael Bost', 'Harriett Loehne', 'Brent Shoaf', 'Jay Spain', 'William Spruill', 'Ken White', 'Steven D. White', 'Steven E. Williams']","['Walter Michael Bost', 'Steven D. White']","['Walter Michael Bost', 'Steven D. White']","['Walter Michael Bost', 'Steven D. White']",['Jay Spain'],['Tim Stansbury'],"['Chris Chamis', 'Wes Lachot', 'Neb Rogers', 'Andrew Taylor', 'Ben Wingrove']"
